username,date,content
narendramodi,2019-07-01,"GST is a major reform that fulfilled the dream of ‘One Nation, One Tax.’Introduction of GST remains a great example of cooperative federalism. As GST completes 2 years, congratulations to those who made it possible and constantly took feedback to make it more people-friendly."
narendramodi,2019-07-01,Had a wonderful meeting with a delegation of the Sikh Community.
narendramodi,2019-07-01,Keep up the good work! #JanShakti4JalShakti
narendramodi,2019-07-01,Excellent! Proactive measures like this will go a long way in conserving water. #JanShakti4JalShakti
narendramodi,2019-07-01,Glad to see this!
narendramodi,2019-07-01,I had never left...these four months were like an 'Alpa Viram' and we are now back to add more words and memories to our dialogue. #MannKiBaat
narendramodi,2019-07-01,"On #DoctorsDay, I congratulate all hardworking doctors for their round the clock efforts to make our society fit and healthy. No words can do justice to their monumental contribution to public welfare. I also pay tributes to Dr. BC Roy, a distinguished doctor himself."
narendramodi,2019-07-01,"The hardworking fraternity of Chartered Accountants has been furthering the culture of honesty and better corporate governance in our society. CAs also play a key role in advancing economic prosperity. Today, on CA Day, my best wishes to all CAs for their future endeavours."
narendramodi,2019-07-01,The accident in Jammu and Kashmir's Kishtwar is heart-wrenching. We mourn all those who lost their lives and express condolences to the bereaved families. May the injured recover at the earliest.
narendramodi,2019-07-01,"The @_DigitalIndia initiative is a people’s movement, powered by people’s strength and their efforts to learn as well as innovate. I salute all those assiduously working to strengthen Digital India and wish them the very best for their future efforts. #DigitalIndiaNewIndia"
narendramodi,2019-07-01,"On this day, 4 years ago @_DigitalIndia was launched, to leverage the power of technology and make technology more accessible. Digital India has empowered people, significantly reduced corruption and improved public service delivery to benefit the poor. #DigitalIndiaNewIndia"
narendramodi,2019-07-01,"Heard the #MannKiBaat yesterday? Do take part in this quiz, covering the topics discussed during the programme. http://nm4.in/dnldapp"
narendramodi,2019-07-01,"Greetings to the Vice President of India, Shri @MVenkaiahNaidu Ji on his birthday. Over the last two years he has been energetically serving the nation as our VP. He has also been excellently chairing the Rajya Sabha. I pray for his long and healthy life. @VPSecretariat"
narendramodi,2019-06-30,Our efforts today will improve the lives of the future generations! Let us come together to conserve water. I have three requests for you all. Here they are. #JanShakti4JalShakti
narendramodi,2019-06-30,"During #MannKiBaat, talked about a book I have been reading and why in the midst of your busy schedules, you too must read and get rejuvenated."
narendramodi,2019-06-30,"Four months, thousands of letters, mails and suggestions… It has been a long time. I have missed #MannKiBaat and am glad we have once again connected through the radio. Here are some thoughts on the last four months. #MannKiBaat"
narendramodi,2019-06-30,"Glad to have met you, Prime Minister @leehsienloong. We will continue to work together to strengthen India-Singapore relations, especially in areas such as trade."
narendramodi,2019-06-30,Delight to connect again! Watch #MannKiBaat.
narendramodi,2019-06-29,"Disasters, natural or manmade, require quick and effective remedial measures. They invariably affect the poor the most. At the #G20 Summit, invited other nations to join the International Coalition on Disaster Resilient Infrastructure. Let us close ranks for a safer planet."
narendramodi,2019-06-29,"At the 3rd session of the #G20, emphasised on healthcare including India’s traditional healing measures, Yoga and our present efforts like the world’s largest healthcare programme, Ayushman Bharat."
narendramodi,2019-06-29,Had a wonderful meeting with PM @ScottMorrisonMP. The deliberations today will add vigour to India-Australia ties and lead to new areas of bilateral cooperation.
narendramodi,2019-06-29,"Productive meeting with President @RTErdogan. India considers Turkey a valued friend, with whom our relations are time tested. We discussed various avenues of India-Turkey cooperation and how we can improve ties in commerce and connectivity."
narendramodi,2019-06-29,"At the #G20 Summit in Osaka, took part in a special session on empowerment of women. The session witnessed an in-depth dialogue on how to further women empowerment and work towards gender equality."
narendramodi,2019-06-29,"Mate, I’m stoked about the energy of our bilateral relationship! @ScottMorrisonMP"
narendramodi,2019-06-28,Met Crown Prince Mohammed bin Salman. We reviewed the full range of relations between India and Saudi Arabia. Our talks today will add great strength to bilateral ties between our nations.
narendramodi,2019-06-28,"The BRICS family comes together yet again! Delighted to meet BRICS leaders. Shared my thoughts on the importance of access to energy and energy security, making WTO mechanisms stronger and fighting protectionism and close cooperation to eliminate forces of terror."
narendramodi,2019-06-28,"The talks with @POTUS were wide ranging. We discussed ways to leverage the power of technology, improve defence and security ties as well as issues relating to trade. India stands committed to further deepen economic and cultural relations with USA. @realDonaldTrump"
narendramodi,2019-06-28,"Today’s meeting of the JAI Trilateral was a productive one. We had extensive discussions on the Indo-Pacific region, improving connectivity and infrastructure development. Grateful to PM @AbeShinzo and President @realDonaldTrump for sharing their views as well."
narendramodi,2019-06-28,"Remembering Shri PV Narasimha Rao Ji on his birth anniversary. A great scholar and veteran administrator, he led the nation at a crucial juncture of our history. He will be remembered for taking pioneering steps that contributed to national progress."
narendramodi,2019-06-27,"Outcome of the 2019 Lok Sabha polls has caused immense happiness among the Indian diaspora. At the community programme, I asked those who had gathered- the win in 2019 is whose win? They promptly replied- it is a win for honesty. Their answer was very pleasing."
narendramodi,2019-06-27,Do you know what connects Mahatma Gandhi and Japan? Find out in this video.
narendramodi,2019-06-27,Had a wonderful community programme in Kobe. Interacting with the Indian diaspora is always special. Here are some glimpses.
narendramodi,2019-06-27,"Began the series of interactions in Osaka with an excellent meeting with my friend, PM @AbeShinzo. Our talks covered the full range of India-Japan relations. Extensive cooperation between India and Japan augurs well for the citizens of our countries and the entire world."
narendramodi,2019-06-27,Reached Osaka to join the #G20 Summit. Grateful to the dynamic Indian community for the warm welcome!
narendramodi,2019-06-27,Democracy is not merely a system of governance for us. Democracy is in India’s ethos for centuries. A democratic temperament is a part of our culture.
narendramodi,2019-06-27,"The manner in which elections are held in India is admired globally. We should be proud of our electoral system instead of blaming EVMs. Polls come and go, democracy remains and it must be strengthened instead of being discredited."
narendramodi,2019-06-27,"New India stands for hope, aspiration and inclusive development. New India stands for pro-people and corruption-free governance."
narendramodi,2019-06-26,"Birthday greetings to our youthful and dedicated Cabinet Minister, Shri Dharmendra Pradhan. Since the last five years, he’s been steadfastly working towards transforming key sectors like petroleum, skill development and steel. I pray for his long and healthy life. @dpradhanbjp"
narendramodi,2019-06-25,"So busy were they with delusions of soaring high that they forgot to remain rooted to the ground. So busy were they ‘soaring’ that they thought anyone on the ground is lowly and dirty. We have no such desire to soar. We are happy grounded, rooted and with our people."
narendramodi,2019-06-25,Here is a glimpse of our belief and convictions- that every Indian has a role to play in the making of the nation.
narendramodi,2019-06-25,Our dream: More investment in India. More opportunities for Indians. Making India a five trillion dollar economy.
narendramodi,2019-06-25,"Swami Satyamitranand Giri Ji epitomised spirituality and wisdom. He devoted his life towards empowering the poor, marginalised and downtrodden. He was extremely proud of India’s rich history and culture. My tributes to this divine soul. Om Shanti."
narendramodi,2019-06-25,India salutes all those greats who fiercely and fearlessly resisted the Emergency. India’s democratic ethos successfully prevailed over an authoritarian mindset.
narendramodi,2019-06-25,"Four years ago, today we started important initiatives PM Awas Yojana (U), AMRUT, Smart Cities with the aim of #TransformingUrbanLandscape in India. These initiatives have not only helped usher in a new paradigm of urban development but have also transformed crores of lives."
narendramodi,2019-06-24,The passing away of Shri Madanlal Saini Ji is a major loss for the BJP family. He contributed to strengthening the Party in Rajasthan. He was widely respected for his congenial nature and community service efforts. My thoughts are with his family and supporters. Om Shanti.
